id;value
Ariquemes;110002
Ariquemes;110013
Ariquemes;110026
Ariquemes;110040
Ariquemes;110045
Ariquemes;110060
Ariquemes;110070
Ariquemes;110094
Ariquemes;110140
Cacoal;110004
Cacoal;110009
Cacoal;110018
Cacoal;110120
Cacoal;110147
Cacoal;110148
Ji-Paraná;110008
Ji-Paraná;110011
Ji-Paraná;110012
Ji-Paraná;110015
Ji-Paraná;110025
Ji-Paraná;110034
Ji-Paraná;110100
Ji-Paraná;110130
Ji-Paraná;110143
Ji-Paraná;110149
Ji-Paraná;110155
Ji-Paraná;110160
Ji-Paraná;110170
Ji-Paraná;110175
Ji-Paraná;110180
Porto Velho;110010
Porto Velho;110020
Porto Velho;110033
Porto Velho;110080
Porto Velho;110110
Rolim de Moura;110001
Rolim de Moura;110014
Rolim de Moura;110028
Rolim de Moura;110029
Rolim de Moura;110032
Rolim de Moura;110037
Rolim de Moura;110050
Rolim de Moura;110090
Rolim de Moura;110145
Rolim de Moura;110150
Vilhena;110003
Vilhena;110005
Vilhena;110006
Vilhena;110007
Vilhena;110030
Vilhena;110092
Vilhena;110146
Ignorado - RO;110000
Ignorado - RO;119999
Alto Acre;120005
Alto Acre;120010
Alto Acre;120025
Alto Acre;120070
Baixo Acre e Purus;120001
Baixo Acre e Purus;120013
Baixo Acre e Purus;120017
Baixo Acre e Purus;120032
Baixo Acre e Purus;120034
Baixo Acre e Purus;120038
Baixo Acre e Purus;120040
Baixo Acre e Purus;120043
Baixo Acre e Purus;120045
Baixo Acre e Purus;120050
Baixo Acre e Purus;120080
Juruá e Tarauacá/Envira;120020
Juruá e Tarauacá/Envira;120030
Juruá e Tarauacá/Envira;120033
Juruá e Tarauacá/Envira;120035
Juruá e Tarauacá/Envira;120039
Juruá e Tarauacá/Envira;120042
Juruá e Tarauacá/Envira;120060
Ignorado - AC;120000
Ignorado - AC;129999
Alto Solimões;130006
Alto Solimões;130020
Alto Solimões;130060
Alto Solimões;130160
Alto Solimões;130230
Alto Solimões;130370
Alto Solimões;130390
Alto Solimões;130406
Alto Solimões;130423
Baixo Amazonas;130050
Baixo Amazonas;130068
Baixo Amazonas;130290
Baixo Amazonas;130300
Baixo Amazonas;130340
Baixo Amazonas;133403
Entorno Manaus;130030
Entorno Manaus;130040
Entorno Manaus;130110
Entorno Manaus;130115
Entorno Manaus;130185
Entorno Manaus;130255
Entorno Manaus;130260
Entorno Manaus;132603
Entorno Manaus;130310
Entorno Manaus;130353
Entorno Manaus;130356
Entorno Manaus;130360
Entorno Manaus;130380
Médio Amazonas;130190
Médio Amazonas;130200
Médio Amazonas;130395
Médio Amazonas;130400
Médio Amazonas;130430
Médio Amazonas;130440
Regional Juruá;130100
Regional Juruá;130140
Regional Juruá;130150
Regional Juruá;130165
Regional Juruá;130180
Regional Juruá;130195
Regional Purus;130070
Regional Purus;130090
Regional Purus;130240
Regional Purus;130350
Regional Purus;130410
Rio Madeira;130014
Rio Madeira;130080
Rio Madeira;130170
Rio Madeira;130270
Rio Madeira;130330
Rio Negro e Solimões;130008
