value;cod
Produção de Lavouras Temporárias;011
Horticultura e Produtos de Viveiro;012
Produção de Lavouras Permanentes;013
Pecuária;014
Produção Mista: Lavoura e Pecuária;015
Ativ Serv Relac Agric/Pecuária, Exc Ativ Veter;016
Silvicultur, Exploração Florestal e Serv Relac;021
Pesca, Aqüicultura e Ativ Serv Relac;051
Extração De Carvão Mineral;100
Extração de Petróleo e Gás Natural;111
Serv Relac Extr Petról/Gás, exc Prosp Real Ter;112
Extração de Minério de Ferro;131
Extração de Minérios Metálicos Não-Ferrosos;132
Extração de Pedra, Areia e Argila;141
Extração De Outros Minerais Não-Metálicos;142
Abate e Preparação Produtos de Carne e Pescado;151
Process, Preserv e Prod de Conservas;152
Produção Óleos e Gorduras Vegetais e Animais;153
Laticínios;154
Moagem, Fabr Prod Amilác Rações Balanc p/Anim;155
Fabricação e Refino de Açúcar;156
Torrefação e Moagem de Café;157
Fabricação de Outros Produtos Alimentícios;158
Fabricação de Bebidas;159
Fabricação de Produtos do Fumo;160
Beneficiamento de Fibras Têxteis Naturais;171
Fiação;172
Tecelagem - inclusive Fiação e Tecelagem;173
Fabricação de Artefatos Têxteis Incl Tecelagem;174
Serv Acab em Fios, Tecidos e Artigos Têxteis;175
Fabr Artef Têxteis Excl Vest e Outr Art Têxt;176
Fabr Tecidos e Artigos de Malhas de Vestuário;177
Confecção de artigo do vestuário e acessórios;181
Fabr Acessórios Vestuário e Segurança Profiss;182
Curtimento e outras Preparações de Couro;191
Fabr Artigos Viagem e Artefatos Diversos Couro;192
Fabricação de Calçados;193
Desdobramento de Madeira;201
Fabr Prod Madeira, Cortiça e Material Trançado;202
Fabr Celulose e Outras Pastas para fabr papel;211
Fabr Papel, Papelão Liso, Cartolina e Cartão;212
Fabricação de Embalagens de Papel ou Papelão;213
Fabr Artef Div Papel, Papelão, Cartolin Cartão;214
Edição e Impressão;221
Impressão e Serviços Conexos para Terceiros;222
Reprodução de Materiais Gravados;223
Coquerias;231
Refino de Petróleo;232
Elaboração de Combustíveis Nucleares;233
Produção de Álcool;234
Fabricação de Produtos Químicos Inorgânicos;241
Fabricação de Produtos Químicos Orgânicos;242
Fabr Resinas Termoplást e Termofixas e Elastôm;243
Fabr Fibras Fios Cabos e Filam Cont Artif/Sint;244
Fabricação de Produtos Farmacêuticos;245
Fabricação de Defensivos Agrícolas (Agrotóx);246
Fabr Sabões Detergent Prod Limpeza Art Perfum;247
Fabr Tintas Verniz Esmalt Lacas Solvent Afins;248
Fabr Produtos e Preparados Químicos Diversos;249
Fabr Art Borracha Pneumáticos e Câmaras-de-ar;251
Fabricação de Produtos de Plástico;252
Fabricação de Vidro e de Produtos do Vidro;261
Fabricação de Cimento;262
Fabr Artef Concr Cimento Fibrocim Gesso Estuq;263
Fabricação de Produtos Cerâmicos;264
Aparelh Pedras Fabr Cal e Outr Prod Min ñ Met;269
Siderúrgicas Integradas;271
Fabricação de Produtos Siderúrgicos;272
Fabricação de Tubos;273
Metalurgia de Metais Não-Ferrosos;274
Fundição;275
Fabr Estrut Metálicas e Obras Caldeirar Pesada;281
Fabr Tanques, Caldeiras e Reserv Metálicos;282
Forj, Estamp, Metalurg Pó e Serv Trat Metais;283
Fabr Art Cutelaria Serralheria Ferram Manuais;284
Fabricação de Produtos Diversos de Metal;289
Fabr Motores Bombas Compress e Equip Transm;291
Fabr Máquinas e Equipamentos de Uso Geral;292
Fabr Trator Máq Equip Agric, Avic e Prod Anim;293
Fabricação de Máquinas-Ferramenta;294
Fabr Máq Equip Indústr Extr Mineral Construção;295
Fabr Outr Máq Equipamentos de Uso Específico;296
