value;cod
Administração Pública Federal;1015
Administração Pública Federal;1040
Administração Pública Federal;1074
Administração Pública Federal;1104
Administração Pública Federal;1139
Administração Pública Federal;1163
Administração Pública Estadual ou Distrito Federal;1023
Administração Pública Estadual ou Distrito Federal;1058
Administração Pública Estadual ou Distrito Federal;1082
Administração Pública Estadual ou Distrito Federal;1112
Administração Pública Estadual ou Distrito Federal;1147
Administração Pública Estadual ou Distrito Federal;1171
Administração Pública Municipal;1031
Administração Pública Municipal;1066
Administração Pública Municipal;1120
Administração Pública Municipal;1155
Administração Pública Municipal;1180
Administração Pública - Outros;1198
Administração Pública - Outros;1201
Administração Pública - Outros;1210
Empresa Pública ou Sociedade de Economia Mista;2011
Empresa Pública ou Sociedade de Economia Mista;2038
Demais Entidades Empresariais;2046
Demais Entidades Empresariais;2054
Demais Entidades Empresariais;2062
Demais Entidades Empresariais;2070
Demais Entidades Empresariais;2089
Demais Entidades Empresariais;2097
Demais Entidades Empresariais;2127
Demais Entidades Empresariais;2135
Demais Entidades Empresariais;2143
Demais Entidades Empresariais;2151
Demais Entidades Empresariais;2160
Demais Entidades Empresariais;2178
Demais Entidades Empresariais;2194
Demais Entidades Empresariais;2216
Demais Entidades Empresariais;2224
Demais Entidades Empresariais;2232
Demais Entidades Empresariais;2240
Demais Entidades Empresariais;2259
Demais Entidades Empresariais;2267
Demais Entidades Empresariais;2275
Demais Entidades Empresariais;2283
Demais Entidades Empresariais;2291
Demais Entidades Empresariais;2305
Demais Entidades Empresariais;2313
Entidades sem Fins Lucrativos;3000
Entidades sem Fins Lucrativos;3001
Entidades sem Fins Lucrativos;3002
Entidades sem Fins Lucrativos;3003
Entidades sem Fins Lucrativos;3004
Entidades sem Fins Lucrativos;3005
Entidades sem Fins Lucrativos;3006
Entidades sem Fins Lucrativos;3007
Entidades sem Fins Lucrativos;3008
Entidades sem Fins Lucrativos;3009
Entidades sem Fins Lucrativos;3010
Entidades sem Fins Lucrativos;3011
Entidades sem Fins Lucrativos;3012
Entidades sem Fins Lucrativos;3013
Entidades sem Fins Lucrativos;3014
Entidades sem Fins Lucrativos;3015
Entidades sem Fins Lucrativos;3016
Entidades sem Fins Lucrativos;3017
Entidades sem Fins Lucrativos;3018
Entidades sem Fins Lucrativos;3019
Entidades sem Fins Lucrativos;3020
Entidades sem Fins Lucrativos;3021
Entidades sem Fins Lucrativos;3022
Entidades sem Fins Lucrativos;3023
Entidades sem Fins Lucrativos;3024
Entidades sem Fins Lucrativos;3025
Entidades sem Fins Lucrativos;3026
Entidades sem Fins Lucrativos;3027
Entidades sem Fins Lucrativos;3028
Entidades sem Fins Lucrativos;3029
Entidades sem Fins Lucrativos;3030
Entidades sem Fins Lucrativos;3031
Entidades sem Fins Lucrativos;3032
Entidades sem Fins Lucrativos;3033
Entidades sem Fins Lucrativos;3034
Entidades sem Fins Lucrativos;3035
Entidades sem Fins Lucrativos;3036
Entidades sem Fins Lucrativos;3037
Entidades sem Fins Lucrativos;3038
Entidades sem Fins Lucrativos;3039
Entidades sem Fins Lucrativos;3040
Entidades sem Fins Lucrativos;3041
Entidades sem Fins Lucrativos;3042
Entidades sem Fins Lucrativos;3043
Entidades sem Fins Lucrativos;3044
Entidades sem Fins Lucrativos;3045
Entidades sem Fins Lucrativos;3046
Entidades sem Fins Lucrativos;3047
Entidades sem Fins Lucrativos;3048
Entidades sem Fins Lucrativos;3049
Entidades sem Fins Lucrativos;3050
Entidades sem Fins Lucrativos;3051
Entidades sem Fins Lucrativos;3052
Entidades sem Fins Lucrativos;3053
Entidades sem Fins Lucrativos;3054
Entidades sem Fins Lucrativos;3055
Entidades sem Fins Lucrativos;3056
Entidades sem Fins Lucrativos;3057
Entidades sem Fins Lucrativos;3058
Entidades sem Fins Lucrativos;3059
Entidades sem Fins Lucrativos;3060
Entidades sem Fins Lucrativos;3061
Entidades sem Fins Lucrativos;3062
Entidades sem Fins Lucrativos;3063
Entidades sem Fins Lucrativos;3064
Entidades sem Fins Lucrativos;3065
