value;cod
NÃO INFORMADO;0000
NÃO INFORMADO;0000
ACONA (WAKONAS, NACONAS, JAKONA, ACORA­NES);0001
AIKANA (AIKANA, MAS SAKA,TUBARAO);0002
AJURU;0003
AKUNSU (AKUNT'SU);0004
AMANAYE;0005
AMONDAWA;0006
ANAMBE;0007
APARAI (APALAI);0008
APIAKA (APIACA);0009
APINAYE (APINAJE/APINAIE/APINAGE);0010
APURINA (APORINA, IPURINA, IPURINA, IPURI­NAN);0011
ARANA (ARACUAI DO VALE DO JEQUITINHONHA);0012
ARAPASO (ARAPACO);0013
ARARA DE RONDONIA (KARO, URUCU, URUKU);0014
ARARA DO ACRE (SHAWANAUA, AMAWAKA);0015
ARARA DO ARIPUANA (ARARA DO BEIRADAO/ARI­PUANA);0016
ARARA DO PARA (UKARAGMA, UKARAMMA);0017
ARAWETE (ARAUETE);0018
ARIKAPU (ARICAPU, ARIKAPO, MASUBI, MAXUBI);0019
ARIKEM (ARIQUEN, ARIQUEME, ARIKEME);0020
ARIKOSE (ARICOBE);0021
ARUA;0022
ARUAK (ARAWAK);0023
ASHANINKA (KAMPA);0024
ASURINI DO TOCANTINS (AKUAWA/AKWAWA);0025
ASURINI DO XINGU (AWAETE);0026
ATIKUM (ATICUM);0027
AVA - CANOEIRO;0028
AWETI (AUETI/AUETO);0029
BAKAIRI (KURA, BACAIRI);0030
BANAWA YAFI (BANAWA, BANAWA-JAFI);0031
BANIWA (BANIUA, BANIVA, WALIMANAI, WAKUE­NAI);0032
BARA (WAIPINOMAKA);0033
BARASANA (HANERA);0034
BARE;0035
BORORO (BOE);0036
BOTOCUDO (GEREN);0037
CANOE;0038
CASSUPA;0039
CHAMACOCO;0040
CHIQUITANO (XIQUITANO);0041
CIKIYANA (SIKIANA);0042
CINTA LARGA (MATETAMAE);0043
COLUMBIARA (CORUMBIARA);0044
DENI;0045
DESANA (DESANA, DESANO, DESSANO, WIRA, UMUKOMASA);0046
DIAHUI (JAHOI, JAHUI, DIARROI);0047
ENAWENE-NAWE (SALUMA);0048
FULNI-O;0049
GALIBI (GALIBI DO OIAPOQUE, KARINHA);0050
GALIBI MARWORNO (GALIBI DO UACA, ARUA);0051
GAVIAO DE RONDONIA (DIGUT);0052
GAVIAO KRIKATEJE;0053
GAVIAO PARKATEJE (PARKATEJE);0054
GAVIAO PUKOBIE (PUKOBIE, PYKOPJE, GAVIAO DO MARANH;0055
GUAJA (AWA, AVA);0056
GUAJAJARA (TENETEHARA);0057
GUARANI KAIOWA (PAI TAVYTERA);0058
GUARANI M'BYA;0059
GUARANI NANDEVA (AVAKATUETE, CHIRIPA, NHANDEWA, AV;0060
GUATO;0061
HIMARIMA (HIMERIMA);0062
INGARIKO (INGARICO, AKAWAIO, KAPON);0063
IRANXE (IRANTXE);0064
ISSE;0065
JABOTI (JABUTI, KIPIU, YABYTI);0066
JAMAMADI (YAMAMADI, DJEOROMITXI);0067
JARAWARA;0068
JIRIPANCO (JERIPANCO, GERIPANCO);0069
JUMA (YUMA);0070
JURUNA;0071
JURUTI (YURITI);0072
KAAPOR (URUBU-KAAPOR, KA'APOR, KAAPORTE);0073
KADIWEU (CADUVEO, CADIUEU);0074
KAIABI (CAIABI, KAYABI);0075
KAIMBE (CAIMBE);0076
KAINGANG (CAINGANGUE);0077
KAIXANA (CAIXANA);0078
KALABASSA (CALABASSA, CALABACAS);0079
KALANCO;0080
KALAPALO (CALAPALO);0081
KAMAYURA (CAMAIURA, KAMAIURA);0082
KAMBA (CAMBA);0083
KAMBEBA (CAMBEBA, OMAGUA);0084
