value;cod
<1a ;100
<1a ;101
<1a ;102
<1a ;103
<1a ;104
<1a ;105
<1a ;106
<1a ;107
<1a ;108
<1a ;109
<1a ;110
<1a ;111
<1a ;112
<1a ;113
<1a ;114
<1a ;115
<1a ;116
<1a ;117
<1a ;118
<1a ;119
<1a ;120
<1a ;121
<1a ;122
<1a ;123
<1a ;124
<1a ;125
<1a ;126
<1a ;127
<1a ;128
<1a ;129
<1a ;130
<1a ;131
<1a ;132
<1a ;133
<1a ;134
<1a ;135
<1a ;136
<1a ;137
<1a ;138
<1a ;139
<1a ;140
<1a ;141
<1a ;142
<1a ;143
<1a ;144
<1a ;145
<1a ;146
<1a ;147
<1a ;148
<1a ;149
<1a ;150
<1a ;151
<1a ;152
<1a ;153
<1a ;154
<1a ;155
<1a ;156
<1a ;157
<1a ;158
<1a ;159
<1a ;160
<1a ;161
<1a ;162
<1a ;163
<1a ;164
<1a ;165
<1a ;166
<1a ;167
<1a ;168
<1a ;169
<1a ;170
<1a ;171
<1a ;172
<1a ;173
<1a ;174
<1a ;175
<1a ;176
<1a ;177
<1a ;178
<1a ;179
<1a ;180
<1a ;181
<1a ;182
<1a ;183
<1a ;184
<1a ;185
<1a ;186
<1a ;187
<1a ;188
<1a ;189
<1a ;190
<1a ;191
<1a ;192
<1a ;193
<1a ;194
<1a ;195
<1a ;196
<1a ;197
<1a ;198
<1a ;199
<1a ;200
<1a ;201
<1a ;202
<1a ;203
<1a ;204
<1a ;205
<1a ;206
<1a ;207
<1a ;208
<1a ;209
<1a ;210
<1a ;211
<1a ;212
<1a ;213
<1a ;214
<1a ;215
<1a ;216
<1a ;217
<1a ;218
<1a ;219
<1a ;220
<1a ;221
<1a ;222
<1a ;223
<1a ;224
<1a ;225
<1a ;226
<1a ;227
<1a ;228
<1a ;229
<1a ;230
<1a ;231
<1a ;232
<1a ;233
<1a ;234
<1a ;235
<1a ;236
<1a ;237
<1a ;238
<1a ;239
<1a ;240
<1a ;241
<1a ;242
<1a ;243
<1a ;244
<1a ;245
<1a ;246
<1a ;247
<1a ;248
<1a ;249
<1a ;250
<1a ;251
<1a ;252
<1a ;253
<1a ;254
<1a ;255
<1a ;256
<1a ;257
<1a ;258
<1a ;259
<1a ;260
<1a ;261
<1a ;262
<1a ;263
<1a ;264
<1a ;265
<1a ;266
<1a ;267
<1a ;268
<1a ;269
<1a ;270
<1a ;271
<1a ;272
<1a ;273
<1a ;274
<1a ;275
<1a ;276
<1a ;277
<1a ;278
<1a ;279
<1a ;280
<1a ;281
<1a ;282
<1a ;283
<1a ;284
<1a ;285
<1a ;286
<1a ;287
<1a ;288
<1a ;289
<1a ;290
<1a ;291
<1a ;292
<1a ;293
<1a ;294
<1a ;295
<1a ;296
<1a ;297
<1a ;298
<1a ;299
<1a ;300
<1a ;301
<1a ;302
<1a ;303
<1a ;304
<1a ;305
<1a ;306
<1a ;307
<1a ;308
<1a ;309
<1a ;310
<1a ;311
1-4a;401
1-4a;402
1-4a;403
1-4a;404
5-14a;405
5-14a;406
5-14a;407
5-14a;408
5-14a;409
5-14a;410
5-14a;411
5-14a;412
5-14a;413
5-14a;414
15-49a;415
15-49a;416
15-49a;417
15-49a;418
15-49a;419
15-49a;420
15-49a;421
15-49a;422
15-49a;423
15-49a;424
15-49a;425
15-49a;426
15-49a;427
15-49a;428
15-49a;429
15-49a;430
15-49a;431
15-49a;432
15-49a;433
15-49a;434
15-49a;435
15-49a;436
15-49a;437
15-49a;438
15-49a;439
15-49a;440
15-49a;441
15-49a;442
15-49a;443
15-49a;444
15-49a;445
15-49a;446
15-49a;447
15-49a;448
15-49a;449
50e+a;450
50e+a;451
50e+a;452
50e+a;453
50e+a;454
50e+a;455
50e+a;456
50e+a;457
50e+a;458
50e+a;459
50e+a;460
50e+a;461
50e+a;462
50e+a;463
50e+a;464
50e+a;465
50e+a;466
50e+a;467
50e+a;468
50e+a;469
50e+a;470
50e+a;471
50e+a;472
50e+a;473
50e+a;474
50e+a;475
50e+a;476
50e+a;477
50e+a;478
50e+a;479
50e+a;480
50e+a;481
50e+a;482
50e+a;483
50e+a;484
50e+a;485
50e+a;486
50e+a;487
50e+a;488
50e+a;489
50e+a;490
50e+a;491
50e+a;492
50e+a;493
50e+a;494
50e+a;495
50e+a;496
50e+a;497
50e+a;498
50e+a;499
50e+a;500
50e+a;501
50e+a;502
50e+a;503
50e+a;504
50e+a;505
50e+a;506
50e+a;507
50e+a;508
50e+a;509
50e+a;510
50e+a;511
50e+a;512
50e+a;513
50e+a;514
50e+a;515
50e+a;516
50e+a;517
50e+a;518
50e+a;519
50e+a;520
50e+a;521
50e+a;522
50e+a;523
50e+a;524
50e+a;525
50e+a;526
50e+a;527
50e+a;528
50e+a;529
50e+a;530
50e+a;531
50e+a;532
50e+a;533
50e+a;534
50e+a;535
50e+a;536
50e+a;537
50e+a;538
50e+a;539
50e+a;540
50e+a;541
50e+a;542
50e+a;543
50e+a;544
50e+a;545
50e+a;546
50e+a;547
50e+a;548
50e+a;549
50e+a;550
50e+a;551
50e+a;552
50e+a;553
50e+a;554
50e+a;555
50e+a;556
50e+a;557
50e+a;558
50e+a;559
50e+a;560
50e+a;561
50e+a;562
50e+a;563
50e+a;564
50e+a;565
50e+a;566
50e+a;567
50e+a;568
50e+a;569
50e+a;570
50e+a;571
50e+a;572
50e+a;573
50e+a;574
50e+a;575
50e+a;576
50e+a;577
50e+a;578
50e+a;579
50e+a;580
50e+a;581
50e+a;582
50e+a;583
50e+a;584
50e+a;585
50e+a;586
50e+a;587
50e+a;588
50e+a;589
50e+a;590
50e+a;591
50e+a;592
50e+a;593
50e+a;594
50e+a;595
50e+a;596
50e+a;597
50e+a;598
50e+a;599
;000
;001
;002
;003
;004
;005
;006
;007
;008
;009
;010
;011
;012
;013
;014
;015
;016
;017
;018
;019
;020
;021
;022
;023
;024
;025
;026
;027
;028
;029
;030
;031
;032
;033
;034
;035
;036
;037
;038
;039
;040
;041
;042
;043
;044
;045
;046
;047
;048
;049
;050
;051
;052
;053
;054
;055
;056
;057
;058
;059
;060
;061
;062
;063
;064
;065
;066
;067
;068
;069
;070
;071
;072
;073
;074
;075
;076
;077
;078
;079
;080
;081
;082
;083
;084
;085
;086
;087
;088
;089
;090
;091
;092
;093
;094
;095
;096
;097
;098
;099
;312
;313
;314
;315
;316
;317
;318
;319
;320
;321
;322
;323
;324
;325
;326
;327
;328
;329
;330
;331
;332
;333
;334
;335
;336
;337
;338
;339
;340
;341
;342
;343
;344
;345
;346
;347
;348
;349
;350
;351
;352
;353
;354
;355
;356
;357
;358
;359
;360
;361
;362
;363
;364
;365
;366
;367
;368
;369
;370
;371
;372
;373
;374
;375
;376
;377
;378
;379
;380
;381
;382
;383
;384
;385
;386
;387
;388
;389
;390
;391
;392
;393
;394
;395
;396
;397
;398
;399
;400
;600
;601
;602
;603
;604
;605
;606
;607
;608
;609
;610
;611
;612
;613
;614
;615
;616
;617
;618
;619
;620
;621
;622
;623
;624
;625
;626
;627
;628
;629
;630
;631
;632
;633
;634
;635
;636
;637
;638
;639
;640
;641
;642
;643
;644
;645
;646
;647
;648
;649
;650
;651
;652
;653
;654
;655
;656
;657
;658
;659
;660
;661
;662
;663
;664
;665
;666
;667
;668
;669
;670
;671
;672
;673
;674
;675
;676
;677
;678
;679
;680
;681
;682
;683
;684
;685
;686
;687
;688
;689
;690
;691
;692
;693
;694
;695
;696
;697
;698
;699
;700
;701
;702
;703
;704
;705
;706
;707
;708
;709
;710
;711
;712
;713
;714
;715
;716
;717
;718
;719
;720
;721
;722
;723
;724
;725
;726
;727
;728
;729
;730
;731
;732
;733
;734
;735
;736
;737
;738
;739
;740
;741
;742
;743
;744
;745
;746
;747
;748
;749
;750
;751
;752
;753
;754
;755
;756
;757
;758
;759
;760
;761
;762
;763
;764
;765
;766
;767
;768
;769
;770
;771
;772
;773
;774
;775
;776
;777
;778
;779
;780
;781
;782
;783
;784
;785
;786
;787
;788
;789
;790
;791
;792
;793
;794
;795
;796
;797
;798
;799
;800
;801
;802
;803
;804
;805
;806
;807
;808
;809
;810
;811
;812
;813
;814
;815
;816
;817
;818
;819
;820
;821
;822
;823
;824
;825
;826
;827
;828
;829
;830
;831
;832
;833
;834
;835
;836
;837
;838
;839
;840
;841
;842
;843
;844
;845
;846
;847
;848
;849
;850
;851
;852
;853
;854
;855
;856
;857
;858
;859
;860
;861
;862
;863
;864
;865
;866
;867
;868
;869
;870
;871
;872
;873
;874
;875
;876
;877
;878
;879
;880
;881
;882
;883
;884
;885
;886
;887
;888
;889
;890
;891
;892
;893
;894
;895
;896
;897
;898
;899
;900
;901
;902
;903
;904
;905
;906
;907
;908
;909
;910
;911
