value;cod
Madeira-Guaporé;110008
Madeira-Guaporé;110010
Madeira-Guaporé;110020
Madeira-Guaporé;110033
Madeira-Guaporé;110045
Madeira-Guaporé;110070
Madeira-Guaporé;110080
Madeira-Guaporé;110094
Madeira-Guaporé;110110
Madeira-Guaporé;110149
Leste RO;110001
Leste RO;110002
Leste RO;110003
Leste RO;110004
Leste RO;110005
Leste RO;110006
Leste RO;110007
Leste RO;110009
Leste RO;110011
Leste RO;110012
Leste RO;110013
Leste RO;110014
Leste RO;110015
Leste RO;110018
Leste RO;110025
Leste RO;110026
Leste RO;110028
Leste RO;110029
Leste RO;110030
Leste RO;110032
Leste RO;110034
Leste RO;110037
Leste RO;110040
Leste RO;110050
Leste RO;110060
Leste RO;110090
Leste RO;110092
Leste RO;110100
Leste RO;110120
Leste RO;110130
Leste RO;110140
Leste RO;110143
Leste RO;110145
Leste RO;110146
Leste RO;110147
Leste RO;110148
Leste RO;110150
Leste RO;110155
Leste RO;110160
Leste RO;110170
Leste RO;110175
Leste RO;110180
Ignorado RO;110000
Ignorado RO;119999
Vale do Juruá;120020
Vale do Juruá;120030
Vale do Juruá;120032
Vale do Juruá;120033
Vale do Juruá;120035
Vale do Juruá;120039
Vale do Juruá;120042
Vale do Juruá;120060
Vale do Acre;120001
Vale do Acre;120005
Vale do Acre;120010
Vale do Acre;120013
Vale do Acre;120017
Vale do Acre;120025
Vale do Acre;120034
Vale do Acre;120038
Vale do Acre;120040
Vale do Acre;120043
Vale do Acre;120045
Vale do Acre;120050
Vale do Acre;120070
Vale do Acre;120080
Ignorado AC;120000
Ignorado AC;129999
Norte AM;130040
Norte AM;130210
Norte AM;130280
Norte AM;130320
Norte AM;130360
Norte AM;130380
Sudoeste AM;130006
Sudoeste AM;130020
Sudoeste AM;130060
Sudoeste AM;130100
Sudoeste AM;130140
Sudoeste AM;130150
Sudoeste AM;130160
Sudoeste AM;130165
Sudoeste AM;130180
Sudoeste AM;130195
Sudoeste AM;130220
Sudoeste AM;130230
Sudoeste AM;130370
Sudoeste AM;130390
Sudoeste AM;130406
Sudoeste AM;130423
Centro AM;130002
Centro AM;130029
Centro AM;130008
Centro AM;130010
Centro AM;130030
Centro AM;130050
Centro AM;130063
Centro AM;130068
Centro AM;130083
Centro AM;130110
Centro AM;130115
Centro AM;130120
Centro AM;130130
Centro AM;130185
Centro AM;130190
Centro AM;130200
Centro AM;130250
Centro AM;130255
Centro AM;130260
Centro AM;132603
Centro AM;130290
Centro AM;130300
Centro AM;130310
Centro AM;130340
Centro AM;133403
Centro AM;130353
Centro AM;130356
Centro AM;130395
Centro AM;130400
Centro AM;130420
Centro AM;130426
Centro AM;130430
Centro AM;130440
Sul AM;130014
Sul AM;130070
Sul AM;130080
Sul AM;130090
Sul AM;130170
Sul AM;130240
Sul AM;130270
Sul AM;130330
Sul AM;130350
Sul AM;130410
Ignorado AM;130000
Ignorado AM;139999
Norte RR;140002
Norte RR;140005
Norte RR;140010
Norte RR;1401
Norte RR;140015
Norte RR;140017
Norte RR;140040
Norte RR;140045
Norte RR;140070
Sul RR;140020
Sul RR;140023
Sul RR;140028
Sul RR;140030
Sul RR;140047
Sul RR;140050
Sul RR;140060
Ignorado RR;140000
Ignorado RR;149999
Baixo Amazonas;150040
Baixo Amazonas;150050
Baixo Amazonas;150145
Baixo Amazonas;150285
Baixo Amazonas;150300
Baixo Amazonas;150390
Baixo Amazonas;150475
Baixo Amazonas;150480
Baixo Amazonas;150510
Baixo Amazonas;150530
Baixo Amazonas;150565
Baixo Amazonas;150590
Baixo Amazonas;150600
Baixo Amazonas;150680
Baixo Amazonas;150797
Marajó;150030
Marajó;150070
Marajó;150110
Marajó;150180
Marajó;150200
Marajó;150250
Marajó;150280
Marajó;150310
Marajó;150450
Marajó;150490
Marajó;150570
Marajó;150580
Marajó;150630
Marajó;150640
Marajó;150770
Marajó;150790
Belém;150080
Belém;150130
Belém;150140
Belém;150150
Belém;150190
Belém;150240
Belém;150340
Belém;150442
Belém;150635
Belém;150650
Belém;150700
Nordeste PA;150010
Nordeste PA;150020
Nordeste PA;150090
Nordeste PA;150095
Nordeste PA;150120
Nordeste PA;150160
Nordeste PA;150170
Nordeste PA;150195
Nordeste PA;150210
Nordeste PA;150220
Nordeste PA;150230
Nordeste PA;150260
Nordeste PA;150275
Nordeste PA;150290
Nordeste PA;150307
Nordeste PA;150320
Nordeste PA;150330
Nordeste PA;150345
Nordeste PA;150350
Nordeste PA;150400
Nordeste PA;150405
Nordeste PA;150410
Nordeste PA;150430
Nordeste PA;150440
Nordeste PA;150460
Nordeste PA;150470
Nordeste PA;150495
Nordeste PA;150500
Nordeste PA;150520
Nordeste PA;150540
Nordeste PA;150560
Nordeste PA;150610
Nordeste PA;150611
Nordeste PA;150620
Nordeste PA;150655
Nordeste PA;150660
Nordeste PA;150690
Nordeste PA;150710
Nordeste PA;150720
Nordeste PA;150740
Nordeste PA;150746
Nordeste PA;150747
Nordeste PA;150760
Nordeste PA;150795
Nordeste PA;150796
Nordeste PA;150800
Nordeste PA;150803
Nordeste PA;150820
Nordeste PA;150830
Sudoeste PA;150060
Sudoeste PA;150085
Sudoeste PA;150100
Sudoeste PA;150172
Sudoeste PA;150360
Sudoeste PA;150375
Sudoeste PA;150445
Sudoeste PA;150503
Sudoeste PA;150548
Sudoeste PA;150619
Sudoeste PA;150780
Sudoeste PA;150805
Sudoeste PA;150815
Sudoeste PA;150835
Sudeste PA;150013
Sudeste PA;150034
Sudeste PA;150125
Sudeste PA;150157
Sudeste PA;150175
Sudeste PA;150178
Sudeste PA;150215
Sudeste PA;150270
Sudeste PA;150276
Sudeste PA;150277
Sudeste PA;150293
Sudeste PA;150295
Sudeste PA;150304
Sudeste PA;150309
Sudeste PA;150370
Sudeste PA;150380
Sudeste PA;150420
Sudeste PA;150497
Sudeste PA;150506
Sudeste PA;150543
Sudeste PA;150549
Sudeste PA;150550
Sudeste PA;150553
Sudeste PA;150555
Sudeste PA;150563
Sudeste PA;150613
Sudeste PA;150616
Sudeste PA;150618
Sudeste PA;150658
Sudeste PA;150670
Sudeste PA;150715
Sudeste PA;150730
Sudeste PA;150745
Sudeste PA;150750
Sudeste PA;150775
Sudeste PA;150808
Sudeste PA;150810
Sudeste PA;150812
Sudeste PA;150840
Ignorado PA;150000
Ignorado PA;159999
Norte AP;160010
Norte AP;160020
Norte AP;160050
Norte AP;160055
Norte AP;160070
Sul AP;160005
Sul AP;160015
Sul AP;160021
Sul AP;160023
Sul AP;160025
Sul AP;160027
Sul AP;160030
Sul AP;160040
Sul AP;160053
Sul AP;160060
Sul AP;160080
Ignorado AP;160000
Ignorado AP;169999
Ocidental TO;170025
