value;cod
Porto Velho;110020
Porto Velho;110033
Porto Velho;110045
Porto Velho;110070
Porto Velho;110080
Porto Velho;110094
Porto Velho;110110
Guajará-Mirim;110008
Guajará-Mirim;110010
Guajará-Mirim;110149
Ariquemes;110002
Ariquemes;110013
Ariquemes;110026
Ariquemes;110040
Ariquemes;110060
Ariquemes;110140
Ariquemes;110175
Ji-Paraná;110011
Ji-Paraná;110012
Ji-Paraná;110015
Ji-Paraná;110025
Ji-Paraná;110100
Ji-Paraná;110130
Ji-Paraná;110143
Ji-Paraná;110155
Ji-Paraná;110160
Ji-Paraná;110170
Ji-Paraná;110180
Alvorada D'Oeste;110014
Alvorada D'Oeste;110032
Alvorada D'Oeste;110034
Alvorada D'Oeste;110150
Cacoal;110001
Cacoal;110004
Cacoal;110009
Cacoal;110028
Cacoal;110029
Cacoal;110037
Cacoal;110050
Cacoal;110090
Cacoal;110120
Vilhena;110018
Vilhena;110030
Vilhena;110092
Vilhena;110145
Vilhena;110147
Vilhena;110148
Colorado Oeste;110003
Colorado Oeste;110005
Colorado Oeste;110006
Colorado Oeste;110007
Colorado Oeste;110146
Ignorado - RO;110000
Ignorado - RO;119999
Cruzeiro do Sul;120020
Cruzeiro do Sul;120033
Cruzeiro do Sul;120035
Cruzeiro do Sul;120039
Cruzeiro do Sul;120042
Tarauacá;120030
Tarauacá;120032
Tarauacá;120060
Sena Madureira;120034
Sena Madureira;120043
Sena Madureira;120050
Rio Branco;120001
Rio Branco;120013
Rio Branco;120017
Rio Branco;120038
Rio Branco;120040
Rio Branco;120045
Rio Branco;120080
Brasiléia;120005
Brasiléia;120010
Brasiléia;120025
Brasiléia;120070
Ignorado - AC;120000
Ignorado - AC;129999
Rio Negro AM;130040
Rio Negro AM;130320
Rio Negro AM;130360
Rio Negro AM;130380
Japurá;130210
Japurá;130280
Alto Solimões;130006
Alto Solimões;130020
Alto Solimões;130060
Alto Solimões;130160
Alto Solimões;130230
Alto Solimões;130370
Alto Solimões;130390
Alto Solimões;130406
Alto Solimões;130423
Juruá;130100
Juruá;130140
Juruá;130150
Juruá;130165
Juruá;130180
Juruá;130195
Juruá;130220
Tefé;130002
Tefé;130029
Tefé;130420
Tefé;130426
Coari;130008
Coari;130010
Coari;130063
Coari;130083
Coari;130120
Coari;130130
Manaus;130030
Manaus;130110
Manaus;130115
Manaus;130185
Manaus;130250
Manaus;130255
Manaus;130260
Manaus;132603
R.Preto da Eva;130353
R.Preto da Eva;130356
Itacoatiara;130190
Itacoatiara;130200
Itacoatiara;130310
Itacoatiara;130400
Itacoatiara;130440
Parintins;130050
Parintins;130068
Parintins;130290
Parintins;130300
Parintins;130340
Parintins;133403
Parintins;130395
Parintins;130430
Boca do Acre;130070
Boca do Acre;130350
Purus;130090
Purus;130240
Purus;130410
Madeira;130014
Madeira;130080
Madeira;130170
Madeira;130270
Madeira;130330
Ignorado - AM;130000
Ignorado - AM;139999
Boa Vista;140002
Boa Vista;140005
Boa Vista;140010
Boa Vista;1401
Boa Vista;140045
Nordeste RR;140015
Nordeste RR;140017
Nordeste RR;140040
Nordeste RR;140070
Caracaraí;140020
Caracaraí;140028
Caracaraí;140030
Sudeste RR;140023
Sudeste RR;140047
Sudeste RR;140050
Sudeste RR;140060
Ignorado - RR;140000
Ignorado - RR;149999
Óbidos;150300
Óbidos;150390
Óbidos;150510
Óbidos;150530
Óbidos;150797
Santarém;150040
Santarém;150145
Santarém;150285
Santarém;150475
Santarém;150480
Santarém;150565
Santarém;150600
Santarém;150680
Almeirim;150050
Almeirim;150590
Portel;150110
Portel;150310
Portel;150450
Portel;150580
Furos de Breves;150030
Furos de Breves;150070
Furos de Breves;150180
Furos de Breves;150280
Furos de Breves;150770
Arari;150200
Arari;150250
Arari;150490
Arari;150570
Arari;150630
Arari;150640
Arari;150790
Belém;150080
Belém;150130
Belém;150140
Belém;150150
Belém;150442
Belém;150635
Castanhal;150190
Castanhal;150240
Castanhal;150340
Castanhal;150650
Castanhal;150700
Salgado;150260
Salgado;150290
Salgado;150410
Salgado;150430
Salgado;150440
Salgado;150620
Salgado;150710
Salgado;150746
Salgado;150747
Salgado;150796
Salgado;150820
Bragantina;150090
Bragantina;150160
Bragantina;150170
Bragantina;150220
Bragantina;150320
Bragantina;150500
Bragantina;150560
Bragantina;150610
Bragantina;150611
Bragantina;150660
Bragantina;150690
Bragantina;150740
Bragantina;150803
Cametá;150010
Cametá;150120
Cametá;150210
Cametá;150330
Cametá;150400
Cametá;150460
Cametá;150520
Tomé-Açu;150020
Tomé-Açu;150275
Tomé-Açu;150470
Tomé-Açu;150795
Tomé-Açu;150800
Guamá;150095
Guamá;150195
Guamá;150230
Guamá;150307
Guamá;150345
Guamá;150350
Guamá;150405
Guamá;150495
Guamá;150540
Guamá;150655
Guamá;150720
Guamá;150760
Guamá;150830
Itaituba;150100
Itaituba;150360
Itaituba;150375
Itaituba;150503
Itaituba;150619
Itaituba;150805
Altamira;150060
Altamira;150085
Altamira;150172
Altamira;150445
Altamira;150548
Altamira;150780
Altamira;150815
Altamira;150835
Tucuruí;150178
Tucuruí;150370
Tucuruí;150380
Tucuruí;150497
Tucuruí;150506
Tucuruí;150810
Paragominas;150013
Paragominas;150157
Paragominas;150293
Paragominas;150309
Paragominas;150550
Paragominas;150618
Paragominas;150812
S.Félix Xingu;150125
S.Félix Xingu;150276
S.Félix Xingu;150543
S.Félix Xingu;150730
S.Félix Xingu;150808
Parauapebas;150034
Parauapebas;150215
Parauapebas;150277
Parauapebas;150295
Parauapebas;150553
Marabá;150175
Marabá;150420
Marabá;150549
Marabá;150715
Marabá;150750
Redenção;150555
Redenção;150563
Redenção;150613
Redenção;150616
Redenção;150745
Redenção;150775
Redenção;150840
Conc.Araguaia;150270
Conc.Araguaia;150304
Conc.Araguaia;150658
Conc.Araguaia;150670
Ignorado - PA;150000
Ignorado - PA;159999
Oiapoque;160020
Oiapoque;160050
Amapá;160010
Amapá;160055
Amapá;160070
Macapá;160005
Macapá;160015
Macapá;160021
Macapá;160023
Macapá;160025
Macapá;160030
Macapá;160053
Macapá;160060
Mazagão;160027
Mazagão;160040
Mazagão;160080
Ignorado - AP;160000
Ignorado - AP;169999
Bico Papagaio;170030
Bico Papagaio;170100
Bico Papagaio;170105
Bico Papagaio;170220
Bico Papagaio;170255
Bico Papagaio;170290
Bico Papagaio;170380
Bico Papagaio;170382
Bico Papagaio;170389
Bico Papagaio;170650
Bico Papagaio;170740
Bico Papagaio;171070
Bico Papagaio;171245
Bico Papagaio;171280
Bico Papagaio;171380
Bico Papagaio;171430
Bico Papagaio;171830
Bico Papagaio;171855
Bico Papagaio;171880
Bico Papagaio;172000
Bico Papagaio;172010
Bico Papagaio;172020
Bico Papagaio;172030
Bico Papagaio;172080
Bico Papagaio;172120
Araguaína;170130
Araguaína;170210
Araguaína;170215
Araguaína;170230
Araguaína;170300
Araguaína;170305
Araguaína;170388
Araguaína;170550
Araguaína;170770
Araguaína;171395
Araguaína;171488
Araguaína;171570
Araguaína;171630
Araguaína;171720
Araguaína;171886
Araguaína;172208
Araguaína;172210
Miracema TO;170025
Miracema TO;170190
Miracema TO;170310
Miracema TO;170320
Miracema TO;170360
Miracema TO;170390
Miracema TO;170600
Miracema TO;170710
Miracema TO;170720
Miracema TO;170825
Miracema TO;170830
Miracema TO;170930
Miracema TO;171110
Miracema TO;171180
Miracema TO;171250
Miracema TO;171320
Miracema TO;171330
Miracema TO;171370
Miracema TO;171665
Miracema TO;171670
Miracema TO;171840
Miracema TO;171870
Miracema TO;172125
Miracema TO;172130
Rio Formoso;170200
Rio Formoso;170460
Rio Formoso;170610
Rio Formoso;170730
Rio Formoso;170755
Rio Formoso;170820
Rio Formoso;171190
Rio Formoso;171500
Rio Formoso;171550
Rio Formoso;171610
Rio Formoso;171750
Rio Formoso;171845
Rio Formoso;171884
Gurupi TO;170035
Gurupi TO;170070
Gurupi TO;170370
Gurupi TO;170386
Gurupi TO;170625
Gurupi TO;170765
Gurupi TO;170950
Gurupi TO;171150
Gurupi TO;171575
Gurupi TO;171660
Gurupi TO;171889
Gurupi TO;172025
Gurupi TO;172085
Gurupi TO;172097
Porto Nacional;170110
Porto Nacional;170330
Porto Nacional;170980
Porto Nacional;171200
Porto Nacional;171360
Porto Nacional;171650
Porto Nacional;171820
Porto Nacional;171888
Porto Nacional;172065
Porto Nacional;172100
Porto Nacional;172110
Jalapão;170307
Jalapão;170384
Jalapão;170410
Jalapão;170900
Jalapão;171050
Jalapão;171090
Jalapão;171195
Jalapão;171240
Jalapão;171270
Jalapão;171510
Jalapão;171790
Jalapão;171850
Jalapão;171875
Jalapão;171900
Jalapão;172015
Dianópolis;170040
Dianópolis;170240
Dianópolis;170270
Dianópolis;170510
Dianópolis;170555
Dianópolis;170560
Dianópolis;170700
Dianópolis;171215
Dianópolis;171420
Dianópolis;171515
Dianópolis;171525
Dianópolis;171620
Dianópolis;171700
Dianópolis;171780
Dianópolis;171800
Dianópolis;171865
Dianópolis;171890
Dianópolis;172049
Dianópolis;172090
Dianópolis;172093
Ignorado - TO;170000
Ignorado - TO;179999
Ignorado - TO;170172
Ignorado - TO;171350
Ignorado - TO;172206
Litoral Ocid.MA;210020
Litoral Ocid.MA;210083
Litoral Ocid.MA;210130
Litoral Ocid.MA;210135
Litoral Ocid.MA;210190
Litoral Ocid.MA;210240
Litoral Ocid.MA;210310
Litoral Ocid.MA;210312
Litoral Ocid.MA;210370
Litoral Ocid.MA;210490
Litoral Ocid.MA;210680
Litoral Ocid.MA;210905
Litoral Ocid.MA;211178
São Luís;210750
São Luís;210945
São Luís;211120
São Luís;211130
Rosário;210110
Rosário;210125
Rosário;210237
Rosário;210510
Rosário;210710
Rosário;210920
Rosário;210960
Rosário;211020
Lençóis MA;210170
Lençóis MA;211707
Lençóis MA;210500
Lençóis MA;210805
Lençóis MA;210940
Lençóis MA;211027
Lençóis MA;211250
Baixada MA;210070
Baixada MA;210100
Baixada MA;210177
Baixada MA;210250
Baixada MA;210355
Baixada MA;210515
Baixada MA;210650
Baixada MA;210690
Baixada MA;210745
Baixada MA;210760
Baixada MA;210825
Baixada MA;210830
Baixada MA;210840
Baixada MA;210860
Baixada MA;210927
Baixada MA;210980
Baixada MA;211050
Baixada MA;211100
Baixada MA;211170
Baixada MA;211280
Baixada MA;211290
Itapecuru Mirim;210270
Itapecuru Mirim;210540
Itapecuru Mirim;210663
Itapecuru Mirim;210675
Itapecuru Mirim;210720
Itapecuru Mirim;210880
Itapecuru Mirim;210930
Itapecuru Mirim;211270
Gurupi MA;210055
Gurupi MA;210197
Gurupi MA;210260
Gurupi MA;210290
Gurupi MA;210315
Gurupi MA;210317
Gurupi MA;210430
Gurupi MA;210467
Gurupi MA;210565
Gurupi MA;210620
Gurupi MA;210632
Gurupi MA;210637
Gurupi MA;211240
Gurupi MA;211245
Pindaré;210040
Pindaré;210047
Pindaré;210087
Pindaré;210200
Pindaré;210203
Pindaré;210215
Pindaré;210232
Pindaré;210465
Pindaré;210570
Pindaré;210596
Pindaré;210635
Pindaré;210735
Pindaré;210810
Pindaré;210850
Pindaré;210923
Pindaré;210990
Pindaré;211000
Pindaré;211003
Pindaré;211102
Pindaré;211227
Pindaré;211300
Pindaré;211400
Imperatriz;210005
Imperatriz;210060
Imperatriz;210235
Imperatriz;210325
Imperatriz;210375
Imperatriz;210455
Imperatriz;210530
Imperatriz;210542
Imperatriz;210550
Imperatriz;210598
Imperatriz;210700
Imperatriz;210955
Imperatriz;211085
Imperatriz;211153
Imperatriz;211176
Imperatriz;211285
Médio Mearim;210120
Médio Mearim;210193
Médio Mearim;210207
Médio Mearim;210400
Médio Mearim;210520
Médio Mearim;210580
Médio Mearim;210590
Médio Mearim;210594
Médio Mearim;210600
Médio Mearim;210740
Médio Mearim;210820
Médio Mearim;210870
Médio Mearim;210890
Médio Mearim;211030
Médio Mearim;211140
