value;cod
Região não definida - RO;110001
Região não definida - RO;110002
Região não definida - RO;110003
Região não definida - RO;110004
Região não definida - RO;110005
Região não definida - RO;110006
Região não definida - RO;110007
Região não definida - RO;110008
Região não definida - RO;110009
Região não definida - RO;110010
Região não definida - RO;110011
Região não definida - RO;110012
Região não definida - RO;110013
Região não definida - RO;110014
Região não definida - RO;110015
Região não definida - RO;110018
Região não definida - RO;110020
Região não definida - RO;110025
Região não definida - RO;110026
Região não definida - RO;110028
Região não definida - RO;110029
Região não definida - RO;110030
Região não definida - RO;110032
Região não definida - RO;110033
Região não definida - RO;110034
Região não definida - RO;110037
Região não definida - RO;110040
Região não definida - RO;110045
Região não definida - RO;110050
Região não definida - RO;110060
Região não definida - RO;110070
Região não definida - RO;110080
Região não definida - RO;110090
Região não definida - RO;110092
Região não definida - RO;110094
Região não definida - RO;110100
Região não definida - RO;110110
Região não definida - RO;110120
Região não definida - RO;110130
Região não definida - RO;110140
Região não definida - RO;110143
Região não definida - RO;110145
Região não definida - RO;110146
Região não definida - RO;110147
Região não definida - RO;110148
Região não definida - RO;110149
Região não definida - RO;110150
Região não definida - RO;110155
Região não definida - RO;110160
Região não definida - RO;110170
Região não definida - RO;110175
Região não definida - RO;110180
Ignorado - RO;110000
Ignorado - RO;119999
Região não definida - AC;120001
Região não definida - AC;120005
Região não definida - AC;120010
Região não definida - AC;120013
Região não definida - AC;120017
Região não definida - AC;120020
Região não definida - AC;120025
Região não definida - AC;120030
Região não definida - AC;120032
Região não definida - AC;120033
Região não definida - AC;120034
Região não definida - AC;120035
Região não definida - AC;120038
Região não definida - AC;120039
Região não definida - AC;120040
Região não definida - AC;120042
Região não definida - AC;120043
Região não definida - AC;120045
Região não definida - AC;120050
Região não definida - AC;120060
Região não definida - AC;120070
Região não definida - AC;120080
Ignorado - AC;120000
Ignorado - AC;129999
Manaus;130002
Manaus;130029
Manaus;130006
Manaus;130008
Manaus;130010
Manaus;130014
Manaus;130020
Manaus;130030
Manaus;130040
Manaus;130050
Manaus;130060
Manaus;130063
Manaus;130068
Manaus;130070
Manaus;130080
Manaus;130083
Manaus;130090
Manaus;130100
Manaus;130110
Manaus;130115
Manaus;130120
Manaus;130130
Manaus;130140
Manaus;130150
Manaus;130160
Manaus;130165
Manaus;130170
Manaus;130180
Manaus;130185
Manaus;130190
Manaus;130195
Manaus;130200
Manaus;130210
Manaus;130220
Manaus;130230
Manaus;130240
Manaus;130250
Manaus;130255
Manaus;130260
Manaus;132603
Manaus;130270
Manaus;130280
Manaus;130290
Manaus;130300
Manaus;130310
Manaus;130320
Manaus;130330
Manaus;130340
Manaus;133403
Manaus;130350
Manaus;130353
Manaus;130356
Manaus;130360
Manaus;130370
Manaus;130380
Manaus;130390
Manaus;130395
Manaus;130400
Manaus;130406
Manaus;130410
Manaus;130420
Manaus;130423
Manaus;130426
Manaus;130430
Manaus;130440
Ignorado - AM;130000
Ignorado - AM;139999
Região não definida - RR;140002
Região não definida - RR;140005
Região não definida - RR;140010
Região não definida - RR;1401
Região não definida - RR;140015
Região não definida - RR;140017
Região não definida - RR;140020
Região não definida - RR;140023
Região não definida - RR;140028
Região não definida - RR;140030
Região não definida - RR;140040
Região não definida - RR;140045
Região não definida - RR;140047
Região não definida - RR;140050
