value;cod
Abissinia;170
Acores;171
Afar frances;172
Afeganistao;241
Albania;093
Alemanha;030
Alto volta;174
Andorra;094
Angola;175
Antartica francesa;334
Antartico argentino;337
Antartico britanico, territorio;333
Antartico chileno;336
Antartico noruegues;338
Antigua e. dep. barbuda;028
Antilhas holandesas;029
Apatrida;339
Arabia saudita;242
Argelia;176
Argentina;021
Armenia;347
Arquipelago de bismark;289
Arquipelago manahiki;285
Arquipelago midway;286
Aruba;033
Ascensao e tristao da cunha,is;198
Ashmore e cartier;287
Australia;288
Austria;095
Azerbaijao;138
Bahrein;243
Bangladesh;342
Barbados;044
Bashkista;139
Bechuanalandia;177
Belgica;031
Belize;046
Benin;178
Bermudas;083
Bhutan;246
Birmania;244
Bolivia;022
Bosnia herzegovina;134
Botsuana;179
Brasil;010
Brunei;245
Bulgaria;096
Burkina fasso;238
Burundi;180
Buryat;141
Cabo verde;343
Camaroes;181
Canada;034
Carelia;142
Catar;247
Cazaquistao;143
Ceilao;248
Ceuta e melilla;182
Chade;183
Chechen ingusth;144
Chile;023
China;042
China (taiwan);249
Chipre;097
Chuvash;145
Cingapura;275
Colombia;026
Comunidade das bahamas;040
Comunidade dominicana;054
Congo;185
Coreia;043
Costa do marfim;186
Costa rica;051
Coveite;250
Croacia;130
Cuba;052
Curacao;053
Dagesta;146
Daome;187
Dependencia de ross;340
Dinamarca;098
Djibuti;188
Eire;099
Emirados arabes unidos;251
Equador;027
Escocia;100
Eslovaquia;136
Eslovenia;132
Espanha;035
Estado da cidade do vaticano;129
Estados assoc. das antilhas;057
Estados unidos da america (eua);036
Estonia;147
Etiopia;190
Filipinas;252
Finlandia;102
Franca;037
Gambia;192
Gana;193
Gaza;194
Georgia;148
Gibraltar;103
Gorno altai;149
Gra-bretanha;032
Granada;059
Grecia;104
Groenlandia;084
Guam;292
Guatemala;061
Guiana francesa;087
Guine;195
Guine bissau;344
Guine equatorial;196
Holanda;105
Honduras;064
Honduras britanicas;063
Hong-kong;253
Hungria;106
Iemen;254
Iemen do sul;345
Ifni;197
Ilha johnston e sand;300
Ilha milhos;069
Ilhas baker;293
Ilhas baleares;107
Ilhas canarias;199
Ilhas cantao e enderburg;294
Ilhas carolinas;295
Ilhas christmas;297
Ilhas comores;184
Ilhas cook;290
Ilhas cosmoledo (lomores);108
Ilhas de man;117
Ilhas do canal;109
Ilhas do pacifico;296
Ilhas falklands;058
Ilhas faroes;101
Ilhas gilbert;298
Ilhas guadalupe;060
Ilhas howland e jarvis;299
Ilhas kingman reef;301
