cod;value
130115;Manaus - AM
130185;Manaus - AM
130190;Manaus - AM
130250;Manaus - AM
130260;Manaus - AM
132603;Manaus - AM
130320;Manaus - AM
130353;Manaus - AM
130356;Manaus - AM
140010;Capital - RR
1401;Capital - RR
140017;Capital - RR
140023;Sul do Estado - RR
140050;Sul do Estado - RR
140060;Sul do Estado - RR
140020;Central - RR
140028;Central - RR
150080;Belém - PA
150140;Belém - PA
150150;Belém - PA
150240;Belém - PA
150442;Belém - PA
150635;Belém - PA
150650;Belém - PA
160030;Macapá - AP
160060;Macapá - AP
210020;Grande São Luís - MA
210750;Grande São Luís - MA
210945;Grande São Luís - MA
211120;Grande São Luís - MA
211130;Grande São Luís - MA
210235;Sudoeste Maranhense - MA
210375;Sudoeste Maranhense - MA
210455;Sudoeste Maranhense - MA
210530;Sudoeste Maranhense - MA
210550;Sudoeste Maranhense - MA
210700;Sudoeste Maranhense - MA
210955;Sudoeste Maranhense - MA
211176;Sudoeste Maranhense - MA
211220;Grande Teresina - PI/MA
220040;Grande Teresina - PI/MA
220160;Grande Teresina - PI/MA
220273;Grande Teresina - PI/MA
220325;Grande Teresina - PI/MA
220330;Grande Teresina - PI/MA
220550;Grande Teresina - PI/MA
220555;Grande Teresina - PI/MA
220558;Grande Teresina - PI/MA
220630;Grande Teresina - PI/MA
220640;Grande Teresina - PI/MA
220672;Grande Teresina - PI/MA
221100;Grande Teresina - PI/MA
221110;Grande Teresina - PI/MA
230100;Fortaleza - CE
230350;Fortaleza - CE
230370;Fortaleza - CE
230395;Fortaleza - CE
230428;Fortaleza - CE
230440;Fortaleza - CE
230495;Fortaleza - CE
230523;Fortaleza - CE
230625;Fortaleza - CE
230765;Fortaleza - CE
230770;Fortaleza - CE
230960;Fortaleza - CE
230970;Fortaleza - CE
231085;Fortaleza - CE
231240;Fortaleza - CE
230190;Cariri - CE
230320;Cariri - CE
230420;Cariri - CE
230430;Cariri - CE
230710;Cariri - CE
230730;Cariri - CE
230840;Cariri - CE
230920;Cariri - CE
231210;Cariri - CE
240260;Natal - RN
240325;Natal - RN
240360;Natal - RN
240710;Natal - RN
240780;Natal - RN
240810;Natal - RN
240820;Natal - RN
241200;Natal - RN
241220;Natal - RN
241480;Natal - RN
250060;João Pessoa - PB
250180;João Pessoa - PB
250300;João Pessoa - PB
250320;João Pessoa - PB
250460;João Pessoa - PB
250490;João Pessoa - PB
250750;João Pessoa - PB
257507;João Pessoa - PB
250860;João Pessoa - PB
250890;João Pessoa - PB
251120;João Pessoa - PB
251190;João Pessoa - PB
251290;João Pessoa - PB
251370;João Pessoa - PB
250040;Campina Grande - PB
250053;Campina Grande - PB
250120;Campina Grande - PB
250130;Campina Grande - PB
250157;Campina Grande - PB
250215;Campina Grande - PB
250250;Campina Grande - PB
250400;Campina Grande - PB
254009;Campina Grande - PB
250435;Campina Grande - PB
250600;Campina Grande - PB
250610;Campina Grande - PB
250625;Campina Grande - PB
250680;Campina Grande - PB
250720;Campina Grande - PB
250830;Campina Grande - PB
250920;Campina Grande - PB
250933;Campina Grande - PB
250950;Campina Grande - PB
250990;Campina Grande - PB
251200;Campina Grande - PB
251240;Campina Grande - PB
251250;Campina Grande - PB
251270;Campina Grande - PB
251275;Campina Grande - PB
251315;Campina Grande - PB
251510;Campina Grande - PB
251580;Campina Grande - PB
251700;Campina Grande - PB
250050;Guarabira - PB
250502;Guarabira - PB
250080;Guarabira - PB
250190;Guarabira - PB
250270;Guarabira - PB
250360;Guarabira - PB
250520;Guarabira - PB
250570;Guarabira - PB
250580;Guarabira - PB
250630;Guarabira - PB
250820;Guarabira - PB
250855;Guarabira - PB
250980;Guarabira - PB
251160;Guarabira - PB
251170;Guarabira - PB
251180;Guarabira - PB
251560;Guarabira - PB
251590;Guarabira - PB
251593;Guarabira - PB
250115;Patos - PB
250340;Patos - PB
250355;Patos - PB
250420;Patos - PB
250450;Patos - PB
250540;Patos - PB
250550;Patos - PB
250590;Patos - PB
250780;Patos - PB
250870;Patos - PB
250880;Patos - PB
250939;Patos - PB
251070;Patos - PB
251080;Patos - PB
251260;Patos - PB
251300;Patos - PB
251340;Patos - PB
251380;Patos - PB
251440;Patos - PB
251460;Patos - PB
251470;Patos - PB
251490;Patos - PB
251670;Patos - PB
251710;Patos - PB
260005;Recife - PE
260105;Recife - PE
260290;Recife - PE
260345;Recife - PE
260680;Recife - PE
260720;Recife - PE
260760;Recife - PE
260775;Recife - PE
260790;Recife - PE
260940;Recife - PE
260960;Recife - PE
261070;Recife - PE
261160;Recife - PE
261370;Recife - PE
260875;Petrolina/Juazeiro -PE/BA
260980;Petrolina/Juazeiro -PE/BA
261110;Petrolina/Juazeiro -PE/BA
261260;Petrolina/Juazeiro -PE/BA
290720;Petrolina/Juazeiro -PE/BA
290990;Petrolina/Juazeiro -PE/BA
291840;Petrolina/Juazeiro -PE/BA
293077;Petrolina/Juazeiro -PE/BA
270050;Maceió - AL
270060;Maceió - AL
270220;Maceió - AL
270430;Maceió - AL
270470;Maceió - AL
270520;Maceió - AL
270644;Maceió - AL
270690;Maceió - AL
270770;Maceió - AL
270790;Maceió - AL
270890;Maceió - AL
270030;Agreste - AL
270080;Agreste - AL
