value;cod
I DRS;110008
I DRS;110011
I DRS;110012
I DRS;110015
I DRS;110025
I DRS;110032
I DRS;110034
I DRS;110100
I DRS;110130
I DRS;110143
I DRS;110149
I DRS;110150
I DRS;110155
I DRS;110160
I DRS;110170
I DRS;110180
II DRS;110001
II DRS;110004
II DRS;110009
II DRS;110014
II DRS;110018
II DRS;110028
II DRS;110029
II DRS;110037
II DRS;110050
II DRS;110090
II DRS;110120
II DRS;110145
II DRS;110147
II DRS;110148
III DRS;110003
III DRS;110005
III DRS;110006
III DRS;110007
III DRS;110030
III DRS;110092
III DRS;110146
Dept.Epidemiologia;110002
Dept.Epidemiologia;110010
Dept.Epidemiologia;110013
Dept.Epidemiologia;110020
Dept.Epidemiologia;110026
Dept.Epidemiologia;110033
Dept.Epidemiologia;110040
Dept.Epidemiologia;110045
Dept.Epidemiologia;110060
Dept.Epidemiologia;110070
Dept.Epidemiologia;110080
Dept.Epidemiologia;110094
Dept.Epidemiologia;110110
Dept.Epidemiologia;110140
Dept.Epidemiologia;110175
Município ignorado - RO;110000
Município ignorado - RO;119999
Acre;120001
Acre;120013
Acre;120017
Acre;120034
Acre;120038
Acre;120040
Acre;120043
Acre;120045
Acre;120050
Acre;120080
Brasiléia;120005
Brasiléia;120010
Brasiléia;120025
Brasiléia;120070
Cruzeiro do Sul;120020
Cruzeiro do Sul;120030
Cruzeiro do Sul;120032
Cruzeiro do Sul;120033
Cruzeiro do Sul;120035
Cruzeiro do Sul;120039
Cruzeiro do Sul;120042
Cruzeiro do Sul;120060
Município ignorado - AC;120000
Município ignorado - AC;129999
Alto Solimões;130006
Alto Solimões;130020
Alto Solimões;130060
Alto Solimões;130370
Alto Solimões;130390
Alto Solimões;130406
Alto Solimões;130423
Triângulo;130002
Triângulo;130029
Triângulo;130100
Triângulo;130140
Triângulo;130150
Triângulo;130160
Triângulo;130195
Triângulo;130210
Triângulo;130220
Triângulo;130230
Triângulo;130280
Triângulo;130420
Triângulo;130426
Rio Negro e Solimões;130008
Rio Negro e Solimões;130010
Rio Negro e Solimões;130063
Rio Negro e Solimões;130083
Rio Negro e Solimões;130250
Rio Negro e Solimões;130320
Entorno de Manaus;130030
Entorno de Manaus;130110
Entorno de Manaus;130115
Entorno de Manaus;130185
Entorno de Manaus;130255
Entorno de Manaus;130260
Entorno de Manaus;132603
Entorno de Manaus;130310
Entorno de Manaus;130353
Entorno de Manaus;130356
Médio Amazonas;130190
Médio Amazonas;130200
Médio Amazonas;130395
Médio Amazonas;130400
Médio Amazonas;130430
Médio Amazonas;130440
Baixo Amazonas;130050
Baixo Amazonas;130068
Baixo Amazonas;130290
Baixo Amazonas;130300
Baixo Amazonas;130340
Baixo Amazonas;133403
Amazonas;130014
Amazonas;130040
Amazonas;130070
Amazonas;130080
Amazonas;130090
Amazonas;130120
Amazonas;130130
Amazonas;130165
Amazonas;130170
Amazonas;130180
Amazonas;130240
Amazonas;130270
Amazonas;130330
Amazonas;130350
Amazonas;130360
Amazonas;130380
Amazonas;130410
Município ignorado - AM;130000
Município ignorado - AM;139999
SES - RR;140002
SES - RR;140005
SES - RR;140010
SES - RR;1401
SES - RR;140015
SES - RR;140017
SES - RR;140020
SES - RR;140023
SES - RR;140028
SES - RR;140030
SES - RR;140040
SES - RR;140045
SES - RR;140047
SES - RR;140050
SES - RR;140060
SES - RR;140070
Município ignorado - RR;140000
Município ignorado - RR;149999
Belém;150080
Belém;150140
Belém;150150
Belém;150442
Belém;150635
Santa Izabel do Pará;150020
Santa Izabel do Pará;150190
Santa Izabel do Pará;150260
Santa Izabel do Pará;150275
Santa Izabel do Pará;150650
Santa Izabel do Pará;150700
Santa Izabel do Pará;150710
Santa Izabel do Pará;150800
Santa Izabel do Pará;150820
Castanhal;150240
Castanhal;150290
Castanhal;150320
Castanhal;150340
Castanhal;150410
Castanhal;150430
Castanhal;150440
Castanhal;150720
Castanhal;150740
Castanhal;150746
Castanhal;150796
Capanema;150090
Capanema;150160
Capanema;150170
Capanema;150195
Capanema;150220
Capanema;150500
Capanema;150540
Capanema;150560
Capanema;150610
Capanema;150611
Capanema;150620
Capanema;150655
Capanema;150690
Capanema;150747
Capanema;150803
Capanema;150830
São Miguel do Guamá;150095
São Miguel do Guamá;150230
São Miguel do Guamá;150293
São Miguel do Guamá;150307
São Miguel do Guamá;150345
São Miguel do Guamá;150350
São Miguel do Guamá;150405
São Miguel do Guamá;150495
São Miguel do Guamá;150550
São Miguel do Guamá;150660
São Miguel do Guamá;150760
São Miguel do Guamá;150812
Barcarena;150010
Barcarena;150130
Barcarena;150330
Barcarena;150470
Barcarena;150795
Marajó;150030
Marajó;150200
Marajó;150250
Marajó;150490
Marajó;150570
